Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,GAP medio,Normalized Power® (NP®),Training Stress Score®,Potencia media,Potencia máxima,Pasos,Repeticiones totales,Series totales,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2025-04-09 12:51:44,false,"Bilbao - Base","6.01","389","00:36:26","138","164","3.0","156","214","6:04","3:49","31","45","1.04","6:13","275","0.0","263","470","5,786","--","--","No","00:00:05.6","7","00:35:28","00:39:52","9","32"
Carrera,2025-04-08 21:07:25,false,"Bilbao - VO2 má​ximo","5.11","331","00:25:55","160","179","3.4","168","213","5:04","3:50","15","25","1.16","5:08","320","0.0","303","398","4,384","--","--","No","00:01:00","17","00:25:55","00:25:55","8","23"
Carrera,2025-04-08 20:41:31,false,"Bilbao Carrera","3.35","207","00:22:48","115","129","2.0","156","168","6:49","5:50","19","20","0.94","6:49","245","0.0","242","323","3,544","--","--","No","00:02:18.4","4","00:22:46","00:22:48","15","25"
Carrera,2025-04-06 17:20:46,false,"Bilbao - Base","7.39","484","00:40:01","151","161","3.5","165","177","5:25","4:27","38","52","1.12","5:27","303","0.0","299","399","6,588","--","--","No","00:00:00.5","9","00:39:57","00:40:01","4","27"
Carrera,2025-04-04 10:12:27,false,"Bilbao - Anaeróbica","7.33","489","00:40:59","152","180","3.5","164","200","5:36","3:26","44","41","1.09","5:35","308","0.0","293","497","6,720","--","--","No","00:01:00","14","00:40:57","00:40:59","9","22"
Carrera,2025-04-02 13:23:56,false,"Bilbao Carrera","3.52","215","00:21:30","123","142","2.3","161","172","6:07","4:50","12","21","1.01","6:14","267","0.0","261","344","3,460","--","--","No","00:02:52.9","4","00:21:26","00:21:30","16","31"
Carrera,2025-04-01 19:17:08,false,"Bilbao Carrera","3.31","212","00:23:34","123","144","2.0","156","165","7:08","5:47","18","22","0.90","7:09","234","0.0","227","328","3,682","--","--","No","00:02:02.2","4","00:23:01","00:23:34","13","27"
Carrera,2025-03-30 09:00:20,false,"Guecho - Carrera de medio maratón","21.21","1,381","01:53:05","160","185","5.0","170","183","5:20","4:38","65","39","1.10","5:20","296","0.0","294","370","19,212","--","--","No","00:00:29.3","23","01:52:50","01:53:05","-17","12"
Carrera,2025-03-28 12:01:50,false,"Bilbao - Trote suave","5.87","373","00:40:01","128","142","2.4","154","173","6:49","5:24","39","36","0.95","6:52","251","0.0","241","349","6,158","--","--","No","00:00:00.6","8","00:38:57","00:40:01","5","18"
Carrera,2025-03-26 11:25:18,false,"Bilbao - Carrera al ritmo","10.26","668","01:00:01","147","172","4.0","164","183","5:51","4:22","44","57","1.04","5:52","285","0.0","274","407","9,838","--","--","No","00:00:01.0","13","00:59:51","01:00:01","14","33"
Carrera,2025-03-25 19:26:38,false,"Bilbao - Trote suave","2.08","129","00:16:54","114","130","1.1","153","161","8:08","5:54","10","15","0.80","8:05","207","0.0","200","290","2,606","--","--","No","00:04:00.9","3","00:16:41","00:16:54","14","23"
Carrera,2025-03-23 16:45:14,false,"Bilbao - Trote suave","7.28","448","00:45:00","130","153","2.8","164","181","6:11","4:15","33","42","0.98","6:13","264","0.0","258","380","7,424","--","--","No","00:00:00.4","10","00:44:44","00:45:00","6","19"
Carrera,2025-03-21 12:12:36,false,"Bilbao - Carrera con ritmo de meta","7.73","510","00:46:42","147","168","3.4","159","178","6:02","3:40","76","71","1.04","6:09","278","0.0","267","445","7,466","--","--","No","00:02:05.2","9","00:46:09","00:46:42","2","23"
Carrera,2025-03-19 12:04:30,false,"Bilbao - Carrera con ritmo de meta","9.71","634","00:58:50","145","169","3.5","159","174","6:04","4:49","54","89","1.04","6:11","274","0.0","267","362","9,364","--","--","No","00:00:51.7","12","00:58:32","00:58:50","4","52"
Carrera,2025-03-13 12:27:43,false,"Bilbao - Carrera al ritmo","10.33","701","01:00:01","151","190","4.1","162","176","5:49","3:26","46","58","1.05","6:12","291","0.0","265","511","9,712","--","--","No","00:00:01.4","13","00:56:22","01:00:01","6","25"
Carrera,2025-03-11 14:33:28,false,"Bilbao - Trote suave","5.68","380","00:35:05","139","155","2.8","160","170","6:11","4:01","39","40","1.01","6:29","266","0.0","255","469","5,586","--","--","No","00:00:04.9","8","00:33:25","00:35:05","-3","17"
Carrera,2025-03-10 12:26:13,false,"Bilbao - Carrera con ritmo de meta","9.10","618","00:54:42","149","170","3.6","161","173","6:01","4:27","43","41","1.03","5:49","285","0.0","275","385","8,756","--","--","No","00:01:20.1","11","00:53:57","00:54:42","--","17"
Carrera,2025-03-07 13:34:44,false,"Bilbao - Trote suave","5.78","396","00:35:42","143","163","2.9","157","165","6:11","3:11","42","54","1.03","5:47","314","0.0","295","552","5,592","--","--","No","00:02:11.7","7","00:35:37","00:35:42","8","30"
Carrera,2025-03-04 20:11:49,false,"Bilbao - Trote suave","5.59","365","00:38:27","127","147","2.3","154","169","6:53","4:01","28","37","0.94","6:57","248","0.0","240","451","5,948","--","--","No","00:00:05.3","7","00:37:59","00:38:27","8","26"
Carrera,2025-02-25 20:04:07,false,"Bilbao - Trote suave","10.00","642","01:00:07","137","151","3.1","164","173","6:01","4:42","37","30","1.02","6:09","276","0.0","271","383","9,830","--","--","No","00:00:07.3","13","00:59:33","01:00:07","7","22"
Carrera,2025-02-23 12:57:17,false,"Bilbao - Trote suave","18.01","1,182","01:54:27","140","153","3.6","157","171","6:21","5:28","65","74","1.00","6:24","264","0.0","258","345","18,022","--","--","No","00:00:27.7","20","01:52:52","01:54:27","6","27"
Carrera,2025-02-21 11:45:21,false,"Bilbao - Carrera de progresión","9.01","597","00:53:47","143","182","3.4","162","186","5:58","3:57","96","108","1.03","6:01","289","0.0","280","462","8,718","--","--","No","00:04:21.1","10","00:53:19","00:53:47","7","27"
Carrera,2025-02-20 13:11:26,false,"Bilbao - Carrera con ritmo de meta","10.15","715","00:59:19","157","185","4.2","160","177","5:51","4:13","51","50","1.07","5:53","290","0.0","279","429","9,524","--","--","No","00:00:09.1","13","00:59:02","00:59:19","14","27"
Carrera,2025-02-19 14:29:23,false,"Bilbao - Trote suave","5.94","392","00:35:37","138","152","2.9","160","172","6:00","4:41","36","38","1.04","6:00","280","0.0","275","378","5,690","--","--","No","00:00:14.8","9","00:35:33","00:35:37","7","23"
Carrera,2025-02-11 15:39:51,false,"Bilbao - Trote suave","8.01","549","00:49:03","141","157","3.2","161","171","6:08","4:56","69","67","1.02","6:09","287","0.0","280","411","7,868","--","--","No","00:01:44.4","10","00:49:00","00:49:03","-1","15"
Carrera,2025-02-09 13:33:42,false,"Bilbao - Trote suave","21.17","1,405","02:09:58","141","152","4.0","161","173","6:08","4:37","78","80","1.01","6:10","274","0.0","270","398","20,840","--","--","No","00:02:27.0","23","02:08:53","02:09:58","-2","19"
Carrera,2025-02-08 14:19:44,false,"Bilbao - Trote suave","7.96","507","00:46:59","133","146","2.9","168","180","5:54","5:04","41","53","1.01","6:00","279","0.0","275","367","7,926","--","--","No","00:00:50.3","10","00:46:57","00:46:59","12","39"
Carrera,2025-02-04 11:37:10,false,"Bilbao - Carrera de progresión","6.98","464","00:40:06","143","174","3.3","171","207","5:45","4:21","31","42","1.02","5:51","287","0.0","279","416","6,830","--","--","No","00:00:06.4","10","00:40:04","00:40:06","12","30"
Carrera,2025-01-31 13:39:37,false,"Bilbao - Repeticiones: velocidad","8.83","600","00:51:34","150","176","3.6","163","233","5:51","3:53","32","23","1.05","5:51","295","0.0","274","431","8,460","--","--","No","00:00:14.5","25","00:51:30","00:51:36","5","19"
Carrera,2025-01-30 21:12:40,false,"Bilbao - Trote suave","6.20","431","00:37:18","145","165","3.1","159","177","6:01","4:45","30","36","1.05","6:07","289","0.0","276","387","5,960","--","--","No","00:02:58.3","7","00:35:47","00:41:11","6","22"
Carrera,2025-01-28 17:10:28,false,"Bilbao - Trote suave","5.75","400","00:33:27","146","166","3.2","162","171","5:49","4:35","38","44","1.06","5:46","302","0.0","294","488","5,408","--","--","No","00:02:49.0","7","00:33:25","00:33:27","9","22"
Carrera,2025-01-26 10:30:23,false,"Las arenas - Bilbao 2025","12.23","863","01:02:03","174","187","5.0","165","178","5:04","4:04","180","171","1.20","5:02","352","0.0","346","569","10,186","--","--","No","00:00:14.8","14","01:01:55","01:02:03","-0","20"
Carrera,2025-01-23 18:52:29,false,"Bilbao - Trote suave","7.97","568","00:50:07","144","164","3.2","153","171","6:17","3:57","44","48","1.04","6:19","276","0.0","266","471","7,682","--","--","No","00:01:36.9","10","00:49:07","00:50:07","5","21"
Carrera,2025-01-21 11:54:58,false,"Bilbao - Trote suave","17.01","1,129","01:42:03","144","156","3.8","155","173","6:00","3:39","87","100","1.07","6:04","288","0.0","282","489","15,882","--","--","No","00:00:55.4","19","01:40:57","01:42:03","-1","34"
Carrera,2025-01-19 13:32:21,false,"Bilbao - Trote suave","14.53","996","01:30:06","145","165","3.6","155","243","6:12","5:03","64","58","1.04","6:13","276","0.0","271","363","13,966","--","--","No","00:00:06.2","17","01:29:01","01:30:06","2","19"
Carrera,2025-01-17 11:07:25,false,"Bilbao - Trote suave","7.34","509","00:45:07","145","160","3.2","151","161","6:09","4:37","34","42","1.08","6:10","277","0.0","272","384","6,794","--","--","No","00:00:06.8","10","00:44:41","00:45:07","5","21"
Carrera,2025-01-16 18:39:59,false,"Bilbao - Repeticiones: velocidad","8.44","585","00:54:01","145","172","3.5","152","186","6:24","3:55","46","47","1.02","6:21","279","0.0","259","425","8,206","--","--","No","00:00:30","30","00:53:26","00:54:01","8","22"
Carrera,2025-01-15 10:40:36,false,"Bilbao - Trote suave","7.34","483","00:50:02","135","167","2.7","151","200","6:49","5:03","37","52","0.97","7:00","243","0.0","238","343","7,564","--","--","No","00:01:46.4","9","00:49:38","00:50:02","7","29"
Carrera,2025-01-14 14:49:17,false,"Bilbao - Carrera de progresión","6.69","437","00:40:06","140","167","3.2","154","166","6:00","4:22","40","38","1.08","6:03","285","0.0","275","433","6,150","--","--","No","00:00:05.5","9","00:40:00","00:40:06","10","26"
Carrera,2025-01-12 11:04:44,false,"Bilbao - Trote suave","16.01","1,062","01:40:10","143","154","3.8","157","170","6:15","4:46","55","59","1.02","6:19","268","0.0","263","371","15,724","--","--","No","00:00:10.0","18","01:39:04","01:40:10","2","24"
