name,activityType,startTimeLocal,locationName,duration,distance,elevationGain,elevationLoss,avgHr,maxHr,avgDoubleCadence,maxDoubleCadence,avgStrideLength,calories,bmrCalories,startLatitude,startLongitude
Toro Carrera,running,1737889351000.0,Toro,4043989.990234375,1018766.9921875,7300.0,6500.0,180.0,191.0,167.484375,188.0,90.23211552330478,3050.33456,322.63154,41.52299830690026,-5.3895321395248175
Entrenamiento en cinta,treadmill_running,1737397454000.0,,3655675.048828125,863798.046875,,,163.0,193.0,150.15625,180.0,94.29440313590695,2568.4822599999998,289.11138,,
Bilbao - Base,running,1736890470000.0,Bilbao,2681104.98046875,553435.009765625,3000.0,2900.0,144.0,155.0,161.3125,171.0,76.83582947301055,1437.1768599999998,213.69101999999998,43.264343217015266,-2.932031638920307
Entrenamiento en cinta,treadmill_running,1736543052000.0,,1472796.9970703125,354002.001953125,,,162.0,191.0,149.3125,170.0,96.3389536354085,1039.1249599999999,117.32055999999999,,
Entrenamiento en cinta,treadmill_running,1735247306000.0,,960643.9819335938,275627.001953125,,,160.0,187.0,157.765625,177.0,109.32047792138269,666.21318,75.42035999999999,,
Entrenamiento en cinta,treadmill_running,1735150014000.0,,1800000.0,500000.0,,,166.0,189.0,161.765625,173.0,100.1499038838078,1231.8658799999998,134.08064,,
Entrenamiento en cinta,treadmill_running,1734986398000.0,,2472238.037109375,599966.9921875,,,148.0,181.0,151.859375,214.0,95.7401952431587,1550.3074,196.93094,,
Entrenamiento en cinta,treadmill_running,1734382294000.0,,2305000.0,600000.0,,,167.0,186.0,165.125,176.0,93.64959890775069,1592.2076,171.79082,,
Santurce Carrera,running,1734291980000.0,Santurce,2486413.0859375,600779.98046875,1100.0,400.0,159.0,183.0,165.625,183.0,87.46371184458941,1680.1980199999998,196.93094,43.330412562936544,-3.0314839258790016
Entrenamiento en cinta,treadmill_running,1734036125000.0,,1283401.0009765625,170536.99951171875,,,146.0,171.0,112.921875,179.0,70.3711185560157,783.53374,100.56047999999998,,
Entrenamiento en cinta,treadmill_running,1733947622000.0,,4365232.91015625,1102990.0390625,,,164.0,191.0,155.984375,178.0,96.85810925884704,2933.0139999999997,347.77166,,
Entrenamiento en cinta,treadmill_running,1733682887000.0,,6443000.0,1600000.0,,,166.0,184.0,160.109375,178.0,93.0890538391358,4370.19086,506.99242,,
Entrenamiento en cinta,treadmill_running,1733171529000.0,,2067252.9296875,549889.013671875,,,168.0,188.0,163.59375,225.0,97.54303919655082,1500.0271599999999,163.41078,,
Santurce Carrera,running,1732974113000.0,Santurce,2625524.90234375,659737.01171875,4200.0,3300.0,164.0,182.0,166.84375,191.0,90.28524177233045,1881.3189799999998,209.50099999999998,43.32556866109371,-3.0309606436640024
Entrenamiento en cinta,treadmill_running,1732823505000.0,,5584931.15234375,1407050.0,,,168.0,185.0,165.53125,178.0,91.31633474190212,4068.50942,444.14212,,
Entrenamiento en cinta,treadmill_running,1732731400000.0,,2400000.0,600000.0,,,165.0,189.0,158.1875,176.0,94.10380587369444,1659.2479199999998,184.36087999999998,,
Santurce Carrera,running,1732555526000.0,Santurce,2616698.974609375,560483.0078125,700.0,600.0,151.0,172.0,161.28125,186.0,79.62937808186277,1546.11738,209.50099999999998,43.33000243641436,-3.0309182312339544
Entrenamiento en cinta,treadmill_running,1731874243000.0,,1050000.0,300000.0,,,176.0,184.0,168.59375,186.0,106.9105315382723,687.16328,71.23034,,
Los Tojos Trail running,trail_running,1731760542000.0,Los Tojos,9596612.3046875,1999911.9140625,42000.0,42900.0,160.0,180.0,157.140625,192.0,79.73779983244789,5991.7285999999995,758.3936199999999,43.146620811894536,-4.195505892857909
Entrenamiento en cinta,treadmill_running,1731528614000.0,,1335897.94921875,358205.0048828125,,,168.0,185.0,158.90625,186.0,100.80650908188518,951.1345399999999,104.75049999999999,,
Entrenamiento en cinta,treadmill_running,1731526245000.0,,1726394.04296875,515112.98828125,,,173.0,189.0,165.984375,173.0,107.85097050041759,1290.52616,138.27066,,
Carrera,running,1731266899000.0,,2063000.0,500000.0,0.0,0.0,167.0,182.0,162.71875,180.0,79.63458024297015,1047.5049999999999,117.32055999999999,,
Carrera,running,1731262487000.0,,3659846.923828125,900000.0,0.0,400.0,160.0,173.0,165.609375,177.0,78.16110276471566,2484.6818599999997,289.11138,,
Carrera,running,1731178800000.0,,2880000.0,725000.0,0.0,200.0,174.0,191.0,162.703125,183.0,87.68214940395042,1374.32656,142.46068,,
Entrenamiento en cinta,treadmill_running,1730837668000.0,,3483324.951171875,930175.9765625,,,169.0,184.0,164.3125,180.0,97.43627793851726,2543.3421399999997,276.54132,,
Bilbao Carrera,running,1730644637000.0,Bilbao,10362118.1640625,2301297.0703125,6600.0,7200.0,163.0,184.0,162.953125,181.0,81.73486866876594,6469.390879999999,825.4339399999999,43.26656802557409,-2.9279935732483864
Entrenamiento en cinta,treadmill_running,1730473887000.0,,607802.978515625,160111.99951171875,,,168.0,177.0,157.140625,169.0,100.58282550458402,444.14212,50.28023999999999,,
Entrenamiento en cinta,treadmill_running,1730471866000.0,,1973161.0107421875,465222.998046875,,,150.0,162.0,153.015625,173.0,92.31188193117362,1223.4858399999998,155.03073999999998,,
carrera jawelin 🦇🧛🏻🧟🧌,running,1730410944000.0,Bilbao,3607704.1015625,903412.01171875,1200.0,1200.0,165.0,188.0,167.28125,192.0,89.8000508787273,2426.0215799999996,284.92136,43.266609851270914,-2.927667014300823
Bilbao Carrera,running,1730323033000.0,Bilbao,2037818.9697265625,498777.978515625,1100.0,2500.0,153.0,186.0,160.28125,177.0,91.61772074629526,1344.99642,163.41078,43.26559371314943,-2.9294466599822044
Bilbao Carrera,running,1729803405000.0,Bilbao,3243145.01953125,800206.005859375,1900.0,2200.0,163.0,188.0,165.59375,187.0,89.38737450858243,2191.38046,259.78123999999997,43.266839515417814,-2.927696770057082
Bilbao - 12 kms a 7-8 min/km,running,1729714502000.0,Bilbao,5415044.921875,1202582.03125,1800.0,1700.0,157.0,177.0,167.21875,176.0,79.72777799749986,3289.1656999999996,431.57205999999996,43.2668748870492,-2.9276854544878006
Vitoria Carrera,running,1729631507000.0,Vitoria,1808067.9931640625,438316.015625,600.0,500.0,151.0,177.0,165.328125,174.0,87.9860959613073,1139.68544,142.46068,42.84334905445576,-2.674632780253887
Bilbao Carrera,running,1729365309000.0,Bilbao,9151852.5390625,2161009.9609375,7400.0,9200.0,180.0,190.0,165.15625,179.0,85.65560248534021,6511.291079999999,729.0634799999999,43.26351474970579,-2.948241736739874
Bilbao Carrera,running,1729196359000.0,Bilbao,1807017.9443359375,435722.998046875,2500.0,2400.0,161.0,179.0,163.125,173.0,88.6849180002521,1210.9157799999998,146.6507,43.26524443924427,-2.931481283158064
Bilbao - 14 kms,running,1728851020000.0,Bilbao,5934756.8359375,1301017.96875,2800.0,2200.0,162.0,176.0,164.71875,173.0,79.85625329597606,3624.3673,477.66227999999995,43.266417318955064,-2.9271140601485968
Bilbao Carrera,running,1728769558000.0,Bilbao,2101747.0703125,459897.998046875,500.0,1100.0,154.0,172.0,162.546875,169.0,80.76834455214996,1248.6259599999998,167.6008,43.266747230663896,-2.9276339057832956
Bilbao Carrera,running,1728417571000.0,Bilbao,3600924.072265625,857778.02734375,2400.0,4000.0,174.0,191.0,163.484375,194.0,87.48893422376486,2497.2519199999997,289.11138,43.2655796315521,-2.930070608854294
Bilbao Carrera,running,1727036516000.0,Bilbao,3167402.099609375,651395.99609375,18500.0,18000.0,163.0,188.0,161.25,217.0,76.44045949767288,2082.4399399999998,255.59121999999996,43.26656366698444,-2.928511407226324
Santurce - Carrera mientras está cansado,running,1726609827000.0,Santurce,1930333.984375,500931.982421875,400.0,800.0,169.0,187.0,167.546875,181.0,93.18028517816231,1445.5568999999998,155.03073999999998,43.32867382094264,-3.031393988057971
Santurce - Trote suave,running,1726173585000.0,Santurce,3001555.908203125,673258.0078125,700.0,3000.0,159.0,183.0,158.96875,247.0,84.18035411106011,1939.9792599999998,243.02115999999998,43.326233346015215,-3.031448135152459
Bilbao Carrera,running,1725992917000.0,Bilbao,317182.0068359375,93016.99829101562,100.0,200.0,181.0,193.0,166.84375,173.0,105.46177722744648,263.97126,25.140119999999996,43.26930773444474,-2.9393227212131023
Bilbao - Contrarreloj,running,1725992091000.0,Bilbao,758450.0122070312,201213.00048828125,400.0,2400.0,168.0,192.0,156.375,175.0,101.15669110099223,578.22276,62.8503,43.26465426944196,-2.9310663789510727
Bilbao Carrera,running,1725824423000.0,Bilbao,7637068.84765625,1901453.90625,3400.0,3400.0,171.0,187.0,169.703125,181.0,88.0184661372216,5690.047159999999,620.1229599999999,43.26708150096238,-2.9275885596871376
Legutio Carrera,running,1725562868000.0,Legutio,3481218.994140625,810924.0234375,11100.0,11000.0,168.0,188.0,162.796875,188.0,85.72718252650569,2472.1117999999997,280.73134,42.982941437512636,-2.662213984876871
Bilbao - Contrarreloj,running,1724876127000.0,Bilbao,2670000.9765625,664143.994140625,700.0,1300.0,158.0,187.0,161.75,176.0,92.17288656027301,1839.4187799999997,217.88103999999998,43.266842951998115,-2.9276651702821255
Bilbao - Carrera mientras está cansado,running,1724704646000.0,Bilbao,3202902.099609375,826900.9765625,1200.0,1700.0,170.0,192.0,159.390625,174.0,96.86193485242637,2379.9313599999996,259.78123999999997,43.264694418758154,-2.931213900446892
