"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Potencia 60%","Strength","4 series de 6 repeticiones con 3' de recuperación Ejercicios: Triceps Prensa Dorsal Sentadilla Lumbar Press banca Remo Isquio","0.75","","2025-01-31","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","5"
"AeL1-AeL2 libre","Bike","todo lo largo que quieras pero aeróbico. rodar AeL1 y repechos y puertos AeL2","","","2025-02-01","","","","","","","1.00055551528931","","","","","150","172","","","0.940227571491497","97.99","7","5","2","12","7","9","17","","","","","","","","","","","","","","",""
"AeM low cad 60' rodillo","Bike","15' calentar 10' haciendo 15"" muy fuertes cada 2' 6x3' AeM cadencia 60 con 2' recu cadencia libre 5' rodar","1","","2025-02-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AeL1-velocidad","Swim","300 calentar estilos 4x25 progresivas 30"" 4x25 a tope 45"" recu 4x50 (haciendo 30 a tope y 20 suave 45"" recu) 4x50 (haciendo 35 a tope y 15 suave 45"" recu) 2x50 a tope 1' recu 200 suaves pull","","1200","2025-02-03","","1200","","","","","0.341666666666667","0.940438871473354","","28","","137","152","","","0.36372947838283","1.64","4","3","9","6","0","0","0","","","","","","","","","","","","","","7","5"
"AeL2-AeM 60'","Run","15' calentar 4 progresivos de 100m con 100m recu 3x (300 AeM 100 recu 1000 AeL2+ 200 recu) rodar hasta completar","1","","2025-02-04","","10066.3203125","","","","","0.918333351612091","3.06800007820129","","170","","149","168","","","1.16973430906144","138.86","2","7","8","17","6","9","7","","","","","","","","","","","","","","6","7"
"Fuerza máxima 80%","Strength","4 series de 8 repeticiones con 3' de recuperación Ejercicios: Triceps Prensa Dorsal Sentadilla Lumbar Press banca Remo Isquio","0.75","","2025-02-05","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5"
"AeM","Swim","300 calentar con algún cambio de ritmo 4x50 progresivos 30"" 3x200 AeM palas-pull 30"" 100 suaves","","1200","2025-02-06","","1200","","","","","0.361388888888889","0.889547813194959","","23","","123","148","","","0.343879522222045","1.47","14","4","3","1","0","0","0","","","","","","","","","","","","","","3","3"
"AeIntenso 60' rodillo","Bike","15' calentar 15' haciendo 30"" fuertes cada 3' 8x2' AeIntenso con 1'30"" recu rodar hasta completar","1","","2025-02-07","","","","","","","1.00694441795349","","","","","157","179","","","1.01206784596619","114.24","4","4","4","2","3","12","30","","","","","","","","","","","","","","7","5"
"AeL1-AeL2 60'","Run","15' calentar 3x 10' AeL2 + 5' AeL1","1","","2025-02-08","","10838.9697265625","","",""," *02/08/2025 Ganix Pereda: Mucho desnivel! Imposible mantener el ritmo estable. Al final, unas arcadas terribles.*","0.952499985694885","3.17600011825562","","169","","159","182","","","1.1948738657729","150.24","0","2","6","13","4","10","22","","","","","","","","","","","","","","5","7"
"Day off","Day Off","","","","2025-02-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
